level,scene,acc_v_mean,acc_m_mean,acc_u_mean,acc_mv_mean,acc_ds_eq_mean,acc_ds_static_mean,acc_ours_mean,best_single,gain_mv_pp,gain_ds_eq_pp,gain_ds_static_pp,gain_ours_pp
1,vmu,0.7936507936507936,0.9265376984126985,0.9900462962962963,0.9990079365079365,0.7549603174603174,0.7529761904761905,0.9950396825396826,0.9900462962962963,0.8961640211640254,-23.508597883597883,-23.70701058201058,0.49933862433862997
2,v,0.6825396825396826,0.9963624338624338,1.0,0.9990079365079365,0.6666666666666666,0.6706349206349206,0.9990079365079365,1.0,-0.09920634920634885,-33.333333333333336,-32.936507936507944,-0.09920634920634885
2,m,0.9900793650793651,0.7503637566137568,1.0,0.9970238095238095,0.6934523809523809,0.691468253968254,0.998015873015873,1.0,-0.29761904761904656,-30.654761904761905,-30.853174603174605,-0.1984126984126977
2,u,0.9900793650793651,0.9762731481481481,0.7240410052910052,0.9990079365079365,0.9216269841269841,0.9375,0.998015873015873,0.9900793650793651,0.8928571428571397,-6.845238095238104,-5.2579365079365115,0.7936507936507908
2,vm,0.6825396825396826,0.7494212962962964,1.0,0.9791666666666666,0.4037698412698413,0.4037698412698413,0.9871031746031746,1.0,-2.083333333333337,-59.62301587301587,-59.62301587301587,-1.289682539682535
2,vu,0.6825396825396826,0.9954365079365081,0.7226686507936508,0.9990079365079365,0.6329365079365079,0.6517857142857143,0.9970238095238095,0.9954365079365081,0.35714285714284477,-36.250000000000014,-34.365079365079374,0.15873015873014706
2,mu,0.9900793650793651,0.7554563492063492,0.7240244708994709,0.9970238095238095,0.6815476190476191,0.6884920634920635,0.9950396825396826,0.9900793650793651,0.694444444444442,-30.853174603174605,-30.15873015873016,0.49603174603174427
2,vmu,0.6825396825396826,0.7488425925925927,0.7232969576719577,0.9781746031746031,0.38095238095238093,0.39285714285714285,0.7688492063492064,0.7488425925925927,22.933201058201046,-36.78902116402117,-35.59854497354498,2.0006613756613723
3,v,0.5595238095238095,0.9963955026455027,1.0,0.9990079365079365,0.5426587301587301,0.5426587301587301,0.9990079365079365,1.0,-0.09920634920634885,-45.73412698412699,-45.73412698412699,-0.09920634920634885
3,m,0.9900793650793651,0.702910052910053,1.0,0.9970238095238095,0.6944444444444444,0.691468253968254,0.9970238095238095,1.0,-0.29761904761904656,-30.555555555555557,-30.853174603174605,-0.29761904761904656
3,u,0.9900793650793651,0.9756613756613757,0.4216435185185185,0.9692460317460317,0.1001984126984127,0.9007936507936508,0.998015873015873,0.9900793650793651,-2.083333333333337,-88.98809523809524,-8.92857142857143,0.7936507936507908
3,vm,0.5595238095238095,0.7028935185185186,1.0,0.9603174603174603,0.29662698412698413,0.29464285714285715,0.9851190476190477,1.0,-3.9682539682539653,-70.33730158730158,-70.53571428571428,-1.4880952380952328
3,vu,0.5595238095238095,0.994808201058201,0.4215608465608466,0.6061507936507936,0.07837301587301587,0.49404761904761907,0.9950396825396826,0.994808201058201,-38.86574074074074,-91.6435185185185,-50.076058201058196,0.023148148148155467
3,mu,0.9900793650793651,0.7028935185185186,0.4209986772486773,0.876984126984127,0.008928571428571428,0.6299603174603174,0.9464285714285714,0.9900793650793651,-11.309523809523814,-98.11507936507937,-36.011904761904766,-4.365079365079372
3,vmu,0.5595238095238095,0.7029265873015874,0.422255291005291,0.47619047619047616,0.003968253968253968,0.23511904761904762,0.7123015873015873,0.7029265873015874,-22.673611111111125,-69.89583333333334,-46.78075396825398,0.9374999999999911
4,v,0.5218253968253969,0.9957837301587301,1.0,0.9990079365079365,0.5029761904761905,0.5069444444444444,0.998015873015873,1.0,-0.09920634920634885,-49.702380952380956,-49.30555555555556,-0.1984126984126977
4,m,0.9900793650793651,0.701521164021164,1.0,0.9970238095238095,0.6904761904761905,0.6904761904761905,0.9970238095238095,1.0,-0.29761904761904656,-30.952380952380953,-30.952380952380953,-0.29761904761904656
4,u,0.9900793650793651,0.9753802910052911,0.26369047619047614,0.9632936507936508,0.0,0.566468253968254,0.998015873015873,0.9900793650793651,-2.67857142857143,-99.0079365079365,-42.361111111111114,0.7936507936507908
4,vm,0.5218253968253969,0.7016534391534391,1.0,0.9454365079365079,0.2708333333333333,0.26686507936507936,0.9880952380952381,1.0,-5.456349206349209,-72.91666666666667,-73.31349206349206,-1.1904761904761862
4,vu,0.5218253968253969,0.9946263227513228,0.2619047619047619,0.5188492063492064,0.0,0.34325396825396826,0.9950396825396826,0.9946263227513228,-47.57771164021164,-99.46263227513228,-65.13723544973546,0.04133597883597684
4,mu,0.9900793650793651,0.7009589947089948,0.2624503968253968,0.7003968253968254,0.0,0.07242063492063493,0.9732142857142857,0.9900793650793651,-28.968253968253975,-99.0079365079365,-91.76587301587303,-1.6865079365079416
4,vmu,0.5218253968253969,0.7018022486772487,0.263938492063492,0.28174603174603174,0.0,0.026785714285714284,0.6765873015873016,0.7018022486772487,-42.0056216931217,-70.18022486772487,-67.50165343915344,-2.5214947089947093
