win_idx,label,acc_v,acc_m,acc_u,acc_fused,P_v,P_m,P_u,brightness,multipath_p,emi,w_v,w_m,w_u
425,0,1.0,0.0,1.0,1.0,1.2518948e-09,0.7844078762853209,0.018044297605770088,0.3345684785131152,0.0,20,0.8827286302554594,0.0066928509242848554,0.9890130573694068
426,0,1.0,0.0,1.0,1.0,5.0128002e-17,0.7844078762771834,0.01802481975265863,0.472991239048811,0.0,20,0.9836150049567277,0.0066928509242848554,0.9890130573694068
427,0,1.0,0.0,1.0,1.0,8.91341e-08,0.7844078762003766,0.01800825185099084,0.5200860832137734,0.0,20,0.9918478760831492,0.0066928509242848554,0.9890130573694068
428,0,1.0,0.0,1.0,1.0,7.623764e-09,0.7844078762854625,0.017969775515720026,0.7657748049052397,0.0,20,0.9997938338706366,0.0066928509242848554,0.9890130573694068
429,0,1.0,0.0,1.0,1.0,5.4894884e-15,0.7844078762146675,0.018019192655888968,0.6589738909748297,0.0,20,0.9989776294281649,0.0066928509242848554,0.9890130573694068
430,0,1.0,0.0,1.0,1.0,2.6180334e-11,0.7844078762853807,0.01797994083766772,0.6159004554202634,0.0,20,0.9980510367145905,0.0066928509242848554,0.9890130573694068
431,0,1.0,0.0,1.0,1.0,2.0467916e-09,0.7844078761750202,0.018068662532279664,0.646533661083481,0.0,20,0.9987681492016037,0.0066928509242848554,0.9890130573694068
432,0,1.0,0.0,1.0,1.0,8.692652e-10,0.7844078762854575,0.017977031897096776,0.3594855618513543,0.0,20,0.9162369804662049,0.0066928509242848554,0.9890130573694068
433,0,1.0,0.0,1.0,1.0,7.69114e-07,0.7844078762728418,0.017975980637628817,0.4302051083591331,0.0,20,0.9693227598473759,0.0066928509242848554,0.9890130573694068
434,0,1.0,0.0,1.0,1.0,1.9997259e-08,0.7844078756610913,0.018010116110407207,0.6616527699803852,0.0,20,0.9990178575261998,0.0066928509242848554,0.9890130573694068
435,0,1.0,0.0,1.0,1.0,9.286458e-08,0.784407876199276,0.01801208704589729,0.49410517123074044,0.0,20,0.9880094991110528,0.0066928509242848554,0.9890130573694068
436,0,1.0,0.0,1.0,1.0,1.04131086e-10,0.7844078762854588,0.017980227599461527,0.5809507916641834,0.0,20,0.9967122604951918,0.0066928509242848554,0.9890130573694068
437,0,1.0,0.0,1.0,1.0,1.0084135e-09,0.7844078761053664,0.017980900226465046,0.6577132951563839,0.0,20,0.9989581338893614,0.0066928509242848554,0.9890130573694068
438,0,1.0,0.0,1.0,1.0,3.1886154e-07,0.7844078762852036,0.0179753270232829,0.5907184664910741,0.0,20,0.997159064772922,0.0066928509242848554,0.9890130573694068
439,0,0.0,0.0,1.0,0.0,1.0,0.7844078762788279,0.01799247768403229,0.6948294048640069,0.0,20,0.9994026686555925,0.0066928509242848554,0.9890130573694068
440,0,1.0,0.0,1.0,1.0,1.1094521e-06,0.7844078762854513,0.018014581193015015,0.6306055755635587,0.0,20,0.9984362189472208,0.0066928509242848554,0.9890130573694068
441,0,1.0,0.0,1.0,1.0,8.173801e-13,0.7844078758713054,0.017958434346923468,0.6201307189542483,0.0,20,0.9981706449659514,0.0066928509242848554,0.9890130573694068
442,0,1.0,0.0,1.0,1.0,4.8255037e-12,0.7844078762753416,0.0180251910001276,0.3743616051071591,0.0,20,0.9318476742126298,0.0066928509242848554,0.9890130573694068
443,0,1.0,0.0,1.0,1.0,6.0398776e-05,0.7844078762221413,0.01800302300842843,0.46850056261820966,0.0,20,0.9824932755703905,0.0066928509242848554,0.9890130573694068
444,0,1.0,0.0,1.0,1.0,2.8505204e-07,0.7844078762842698,0.017961690053128636,0.43911105377823645,0.0,20,0.9730556017518717,0.0066928509242848554,0.9890130573694068
445,0,1.0,0.0,1.0,1.0,9.60973e-06,0.7844078762845316,0.01794396562819904,0.42205829358770536,0.0,20,0.9654729297892465,0.0066928509242848554,0.9890130573694068
446,0,1.0,0.0,1.0,1.0,1.3411802e-06,0.7844078762026429,0.017975949815738437,0.5073078120136943,0.0,20,0.9901425087336443,0.0066928509242848554,0.9890130573694068
447,0,1.0,0.0,1.0,1.0,0.00040526304,0.7844078762854532,0.017979957654638296,0.5592166443612107,0.0,20,0.9954508242675777,0.0066928509242848554,0.9890130573694068
448,0,1.0,0.0,1.0,1.0,1.1370558e-12,0.784407876282141,0.018031667429830867,0.7509900475341652,0.0,20,0.9997426588926713,0.0066928509242848554,0.9890130573694068
449,0,1.0,0.0,1.0,1.0,1.1514569e-06,0.7844078731704656,0.017964044585696927,0.7697336293007769,0.0,20,0.9998057177852178,0.0066928509242848554,0.9890130573694068
450,0,1.0,0.0,1.0,1.0,2.505164e-11,0.7844078762833048,0.018006713233735278,0.7355001685239043,0.0,20,0.9996753708842797,0.0066928509242848554,0.9890130573694068
451,0,1.0,0.0,1.0,1.0,9.784384e-09,0.7844078762852431,0.01792075611911205,0.3625865703101475,0.0,20,0.9197384422780206,0.0066928509242848554,0.9890130573694068
452,0,1.0,0.0,1.0,1.0,5.550391e-09,0.7844075214530194,0.017962207529175826,0.7053032815235568,0.0,20,0.999489469350451,0.0066928509242848554,0.9890130573694068
453,0,1.0,0.0,1.0,1.0,0.016779477,0.7844078762854598,0.01804978399978394,0.3657088793679023,0.0,20,0.9231284959129867,0.0066928509242848554,0.9890130573694068
454,0,1.0,0.0,1.0,1.0,1.2295094e-08,0.7844078762843879,0.01799842832266489,0.5918764352587882,0.0,20,0.997207847810403,0.0066928509242848554,0.9890130573694068
455,0,1.0,0.0,1.0,1.0,7.973989e-12,0.7844078762848243,0.01800603549014892,0.6220123110972784,0.0,20,0.9982214641081704,0.0066928509242848554,0.9890130573694068
456,0,1.0,0.0,1.0,1.0,0.0006076929,0.7844078709928141,0.017967122146143304,0.6572741475967282,0.0,20,0.998951255462529,0.0066928509242848554,0.9890130573694068
457,0,1.0,0.0,1.0,1.0,0.00040009813,0.7844078762854214,0.017960380444958526,0.8072149693210617,0.0,20,0.9998892610894868,0.0066928509242848554,0.9890130573694068
458,0,1.0,0.0,1.0,1.0,1.2485861e-05,0.7844078762854623,0.01799033095404804,0.5249433106575964,0.0,20,0.9924163616434475,0.0066928509242848554,0.9890130573694068
459,0,1.0,0.0,1.0,1.0,8.5380365e-05,0.7844078762854648,0.017991438431924526,0.5326738562091503,0.0,20,0.9932410635060924,0.0066928509242848554,0.9890130573694068
